name,date,country_id:id,vocative
Adam,2015-12-24,base.cz,Adame
Adolf,2015-06-17,base.cz,Adolfe
Adrian,2015-06-26,base.cz,Adriane
Adriana,2015-06-26,base.cz,Adriano
Adéla,2015-09-02,base.cz,Adélo
Agáta,2015-10-14,base.cz,Agáto
Alan,2015-08-14,base.cz,Alane
Albert,2015-11-21,base.cz,Alberte
Albína,2015-12-16,base.cz,Albíno
Alena,2015-08-13,base.cz,Aleno
Alexandr,2015-02-27,base.cz,Alexandře
Alexandra,2015-04-21,base.cz,Alexandro
Alexej,2015-05-03,base.cz,Alexeji
Aleš,2015-04-13,base.cz,Aleši
Alice,2015-01-15,base.cz,Alice
Alina,2015-07-28,base.cz,Alino
Alois,2015-06-21,base.cz,Aloisi
Alžběta,2015-11-19,base.cz,Alžběto
Ambrož,2015-12-07,base.cz,Ambroži
Amálie,2015-07-10,base.cz,Amálie
Anastázie,2015-04-15,base.cz,Anastázie
Andrea,2015-09-26,base.cz,Andreo
Andrej,2015-10-11,base.cz,Andreji
Anděla,2015-03-11,base.cz,Andělo
Aneta,2015-05-17,base.cz,Aneto
Anežka,2015-03-02,base.cz,Anežko
Anna,2015-07-26,base.cz,Anno
Anton,2015-06-13,base.cz,Antone
Antonie,2015-06-12,base.cz,Antonie
Antonín,2015-06-13,base.cz,Antoníne
Apolena,2015-02-09,base.cz,Apoleno
Arnošt,2015-03-30,base.cz,Arnošte
Artur,2015-11-26,base.cz,Arture
Augustýn,2015-08-28,base.cz,Augustýne
Barbara,2015-12-04,base.cz,Barbaro
Barbora,2015-12-04,base.cz,Barboro
Bartoloměj,2015-08-24,base.cz,Bartoloměji
Bastian,2015-01-20,base.cz,Bastiane
Beatrice,2015-07-29,base.cz,Beatrice
Bedřich,2015-03-01,base.cz,Bedřicha
Benedikt,2015-11-12,base.cz,Benedikte
Benjamín,2015-12-07,base.cz,Benjamíne
Bernard,2015-08-20,base.cz,Bernarde
Bernd,2015-08-20,base.cz,Bernde
Bernhard,2015-08-20,base.cz,Bernharde
Berta,2015-09-23,base.cz,Berto
Beáta,2015-10-25,base.cz,Beáto
Bibiana,2015-12-02,base.cz,Bibiano
Blahoslav,2015-04-30,base.cz,Blahoslave
Blanka,2015-12-02,base.cz,Blanko
Blažej,2015-02-03,base.cz,Blažeji
Blažena,2015-05-10,base.cz,Blaženo
Bohdan,2015-11-09,base.cz,Bohdane
Bohdana,2015-01-11,base.cz,Bohdano
Bohumil,2015-10-03,base.cz,Bohumile
Bohumila,2015-12-28,base.cz,Bohumilo
Bohumír,2015-11-08,base.cz,Bohumíre
Bohuslav,2015-08-22,base.cz,Bohuslave
Bohuslava,2015-07-07,base.cz,Bohuslavo
Boleslav,2015-09-06,base.cz,Boleslave
Bonifác,2015-05-14,base.cz,Bonifáci
Boris,2015-09-05,base.cz,Borisi
Bořek,2015-07-12,base.cz,Bořku
Bořivoj,2015-07-30,base.cz,Bořivoji
Božena,2015-02-11,base.cz,Boženo
Brigita,2015-10-21,base.cz,Brigito
Bronislav,2015-09-03,base.cz,Bronislave
Bruno,2015-06-11,base.cz,Bruna
Běla,2015-01-21,base.cz,Bělo
Břetislav,2015-01-10,base.cz,Břetislave
Cecílie,2015-11-22,base.cz,Cecílie
Ctibor,2015-05-09,base.cz,Ctibore
Ctirad,2015-01-16,base.cz,Ctirade
Dagmar,2015-12-20,base.cz,Dagmar
Dalibor,2015-06-04,base.cz,Dalibore
Dalimil,2015-01-05,base.cz,Dalimile
Dan,2015-12-17,base.cz,Dane
Dana,2015-12-11,base.cz,Dano
Danica,2015-01-26,base.cz,Danico
Daniel,2015-12-17,base.cz,Daniele
Daniela,2015-09-09,base.cz,Danielo
Danuše,2015-12-11,base.cz,Danuše
Darina,2015-09-22,base.cz,Darino
Darja,2015-04-10,base.cz,Darjo
David,2015-12-30,base.cz,Davide
Denisa,2015-09-11,base.cz,Deniso
Diana,2015-01-04,base.cz,Diano
Dita,2015-03-27,base.cz,Dito
Dobromila,2015-02-05,base.cz,Dobromilo
Dobroslav,2015-06-05,base.cz,Dobroslave
Dominik,2015-08-04,base.cz,Dominiku
Dominika,2015-08-04,base.cz,Dominiko
Dorota,2015-02-26,base.cz,Doroto
Doubravka,2015-01-19,base.cz,Doubravko
Drahomíra,2015-07-18,base.cz,Drahomíro
Drahoslav,2015-01-17,base.cz,Drahoslave
Drahoslava,2015-07-09,base.cz,Drahoslavo
Dušan,2015-04-09,base.cz,Dušane
Dávid,2015-12-30,base.cz,Dávide
Edita,2015-01-13,base.cz,Edito
Eduard,2015-03-18,base.cz,Eduarde
Elena,2015-03-16,base.cz,Eleno
Eliška,2015-10-05,base.cz,Eliško
Ema,2015-04-08,base.cz,Emo
Emanuel,2015-03-26,base.cz,Emanuele
Emil,2015-05-22,base.cz,Emile
Emílie,2015-11-24,base.cz,Emílie
Erik,2015-10-26,base.cz,Eriku
Erika,2015-04-02,base.cz,Eriko
Ester,2015-12-19,base.cz,Ester
Eva,2015-12-24,base.cz,Evo
Evelína,2015-08-29,base.cz,Evelíno
Evžen,2015-11-10,base.cz,Evžene
Evženie,2015-04-22,base.cz,Evženie
Felix,2015-11-01,base.cz,Felixi
Ferdinand,2015-05-30,base.cz,Ferdinande
Filip,2015-05-26,base.cz,Filipe
František,2015-10-04,base.cz,Františku
Františka,2015-03-09,base.cz,Františko
Gabriel,2015-03-24,base.cz,Gabriele
Gabriela,2015-03-08,base.cz,Gabrielo
Gita,2015-06-10,base.cz,Gito
Gizela,2015-02-18,base.cz,Gizelo
Gregor,2015-03-12,base.cz,Gregore
Gustav,2015-08-02,base.cz,Gustave
Gábina,2015-03-08,base.cz,Gábino
Hana,2015-08-15,base.cz,Hano
Hanka,2015-08-15,base.cz,Hanko
Hanuš,2015-10-06,base.cz,Hanuši
Havel,2015-10-16,base.cz,Havle
Hedvika,2015-10-17,base.cz,Hedviko
Helena,2015-08-18,base.cz,Heleno
Herbert,2015-03-16,base.cz,Herberte
Hermína,2015-04-07,base.cz,Hermíno
Heřman,2015-04-07,base.cz,Heřmane
Hubert,2015-11-03,base.cz,Huberte
Hugo,2015-04-01,base.cz,Huga
Hynek,2015-02-01,base.cz,Hynku
Ida,2015-03-15,base.cz,Ido
Ignác,2015-07-31,base.cz,Ignáci
Igor,2015-10-01,base.cz,Igore
Ilja,2015-07-20,base.cz,Iljo
Ilona,2015-01-20,base.cz,Ilono
Ingrid,2015-01-27,base.cz,Ingride
Inka,2015-01-27,base.cz,Inko
Irena,2015-04-16,base.cz,Ireno
Irma,2015-09-10,base.cz,Irmo
Iva,2015-12-01,base.cz,Ivo
Ivan,2015-06-25,base.cz,Ivane
Ivana,2015-04-04,base.cz,Ivano
Iveta,2015-06-07,base.cz,Iveto
Ivo,2015-05-19,base.cz,Iva
Ivona,2015-03-23,base.cz,Ivono
Ivoš,2015-05-19,base.cz,Ivoši
Izabela,2015-04-11,base.cz,Izabelo
Jakub,2015-07-25,base.cz,Jakube
Jan,2015-06-24,base.cz,Jane
Jana,2015-05-24,base.cz,Jano
Janka,2015-05-24,base.cz,Janko
Jarmil,2015-06-02,base.cz,Jarmile
Jarmila,2015-02-04,base.cz,Jarmilo
Jaromír,2015-09-24,base.cz,Jaromíre
Jaroslav,2015-04-27,base.cz,Jaroslave
Jaroslava,2015-07-01,base.cz,Jaroslavo
Jeroným,2015-09-30,base.cz,Jeronýme
Jindra,2015-09-04,base.cz,Jindro
Jindřich,2015-07-15,base.cz,Jindřicha
Jindřiška,2015-09-04,base.cz,Jindřiško
Jitka,2015-12-05,base.cz,Jitko
Jitřenka,2015-01-26,base.cz,Jitřenko
Jiřina,2015-02-15,base.cz,Jiřino
Jiří,2015-04-24,base.cz,Jiří
Johana,2015-08-21,base.cz,Johano
